Symbol,Underlying,Type,Strike,Expiry,Reason
OPT_TECHM_20260224_CE_126000,TECHM,OPT_CE,126000,20260224,Zero position & not in today refdata
OPT_BAJAJFINSV_20260224_PE_96000,BAJAJFINSV,OPT_PE,96000,20260224,Zero position & not in today refdata
OPT_ONGC_20260224_CE_20900,ONGC,OPT_CE,20900,20260224,Zero position & not in today refdata
OPT_JSWSTEEL_20260224_PE_83000,JSWSTEEL,OPT_PE,83000,20260224,Zero position & not in today refdata
OPT_EICHERMOT_20260224_PE_1070000,EICHERMOT,OPT_PE,1070000,20260224,Zero position & not in today refdata
OPT_ETERNAL_20260224_PE_11000,ETERNAL,OPT_PE,11000,20260224,Zero position & not in today refdata
OPT_POWERGRID_20260224_CE_39000,POWERGRID,OPT_CE,39000,20260224,Zero position & not in today refdata
OPT_COALINDIA_20260224_CE_32750,COALINDIA,OPT_CE,32750,20260224,Zero position & not in today refdata
OPT_ADANIENT_20260224_CE_270000,ADANIENT,OPT_CE,270000,20260224,Zero position & not in today refdata
OPT_LT_20260224_CE_540000,LT,OPT_CE,540000,20260224,Zero position & not in today refdata
OPT_MARUTI_20260224_CE_2380000,MARUTI,OPT_CE,2380000,20260224,Zero position & not in today refdata
OPT_ONGC_20260224_PE_20100,ONGC,OPT_PE,20100,20260224,Zero position & not in today refdata
OPT_ADANIPORTS_20260224_CE_216000,ADANIPORTS,OPT_CE,216000,20260224,Zero position & not in today refdata
OPT_ONGC_20260224_CE_21300,ONGC,OPT_CE,21300,20260224,Zero position & not in today refdata
OPT_KOTAKBANK_20260224_CE_31750,KOTAKBANK,OPT_CE,31750,20260224,Zero position & not in today refdata
OPT_GRASIM_20260224_PE_202000,GRASIM,OPT_PE,202000,20260224,Zero position & not in today refdata
OPT_RELIANCE_20260224_PE_189000,RELIANCE,OPT_PE,189000,20260224,Zero position & not in today refdata
OPT_TITAN_20260224_CE_494000,TITAN,OPT_CE,494000,20260224,Zero position & not in today refdata
OPT_BHARTIARTL_20260224_CE_300000,BHARTIARTL,OPT_CE,300000,20260224,Zero position & not in today refdata
OPT_ETERNAL_20260224_CE_45000,ETERNAL,OPT_CE,45000,20260224,Zero position & not in today refdata
OPT_HCLTECH_20260224_PE_122000,HCLTECH,OPT_PE,122000,20260224,Zero position & not in today refdata
OPT_ITC_20260224_PE_54000,ITC,OPT_PE,54000,20260224,Zero position & not in today refdata
OPT_ONGC_20260224_PE_18000,ONGC,OPT_PE,18000,20260224,Zero position & not in today refdata
OPT_LT_20260224_PE_454000,LT,OPT_PE,454000,20260224,Zero position & not in today refdata
OPT_ONGC_20260224_PE_21500,ONGC,OPT_PE,21500,20260224,Zero position & not in today refdata
OPT_DRREDDY_20260224_PE_58000,DRREDDY,OPT_PE,58000,20260224,Zero position & not in today refdata
OPT_MARUTI_20260224_PE_1950000,MARUTI,OPT_PE,1950000,20260224,Zero position & not in today refdata
OPT_SHRIRAMFIN_20260224_PE_62000,SHRIRAMFIN,OPT_PE,62000,20260224,Zero position & not in today refdata
OPT_ICICIBANK_20260224_CE_204000,ICICIBANK,OPT_CE,204000,20260224,Zero position & not in today refdata
OPT_CIPLA_20260224_PE_208000,CIPLA,OPT_PE,208000,20260224,Zero position & not in today refdata
OPT_HINDALCO_20260224_PE_69000,HINDALCO,OPT_PE,69000,20260224,Zero position & not in today refdata
OPT_HEROMOTOCO_20260224_PE_765000,HEROMOTOCO,OPT_PE,765000,20260224,Zero position & not in today refdata
OPT_ULTRACEMCO_20260224_CE_910000,ULTRACEMCO,OPT_CE,910000,20260224,Zero position & not in today refdata
OPT_APOLLOHOSP_20260224_CE_1060000,APOLLOHOSP,OPT_CE,1060000,20260224,Zero position & not in today refdata
OPT_ITC_20260224_PE_56500,ITC,OPT_PE,56500,20260224,Zero position & not in today refdata
OPT_HEROMOTOCO_20260224_PE_755000,HEROMOTOCO,OPT_PE,755000,20260224,Zero position & not in today refdata
OPT_BEL_20260224_CE_22000,BEL,OPT_CE,22000,20260224,Zero position & not in today refdata
OPT_RELIANCE_20260224_CE_193000,RELIANCE,OPT_CE,193000,20260224,Zero position & not in today refdata
OPT_HEROMOTOCO_20260224_PE_270000,HEROMOTOCO,OPT_PE,270000,20260224,Zero position & not in today refdata
OPT_CIPLA_20260224_PE_218000,CIPLA,OPT_PE,218000,20260224,Zero position & not in today refdata
OPT_BAJFINANCE_20260224_PE_146000,BAJFINANCE,OPT_PE,146000,20260224,Zero position & not in today refdata
OPT_GRASIM_20260224_CE_148000,GRASIM,OPT_CE,148000,20260224,Zero position & not in today refdata
OPT_ADANIENT_20260224_CE_80000,ADANIENT,OPT_CE,80000,20260224,Zero position & not in today refdata
OPT_GRASIM_20260224_PE_148000,GRASIM,OPT_PE,148000,20260224,Zero position & not in today refdata
OPT_ETERNAL_20260224_CE_43000,ETERNAL,OPT_CE,43000,20260224,Zero position & not in today refdata
OPT_GRASIM_20260224_PE_206000,GRASIM,OPT_PE,206000,20260224,Zero position & not in today refdata
OPT_LT_20260224_CE_232000,LT,OPT_CE,232000,20260224,Zero position & not in today refdata
OPT_INDUSINDBK_20260224_PE_52000,INDUSINDBK,OPT_PE,52000,20260224,Zero position & not in today refdata
OPT_ASIANPAINT_20260224_PE_358000,ASIANPAINT,OPT_PE,358000,20260224,Zero position & not in today refdata
OPT_JIOFIN_20260224_CE_40500,JIOFIN,OPT_CE,40500,20260224,Zero position & not in today refdata
OPT_TITAN_20260224_PE_478000,TITAN,OPT_PE,478000,20260224,Zero position & not in today refdata
OPT_INFY_20260224_PE_88000,INFY,OPT_PE,88000,20260224,Zero position & not in today refdata
OPT_TRENT_20260224_PE_255000,TRENT,OPT_PE,255000,20260224,Zero position & not in today refdata
OPT_HINDALCO_20260224_PE_60000,HINDALCO,OPT_PE,60000,20260224,Zero position & not in today refdata
OPT_KOTAKBANK_20260224_PE_50750,KOTAKBANK,OPT_PE,50750,20260224,Zero position & not in today refdata
OPT_TCS_20260224_PE_468000,TCS,OPT_PE,468000,20260224,Zero position & not in today refdata
OPT_HEROMOTOCO_20260224_PE_870000,HEROMOTOCO,OPT_PE,870000,20260224,Zero position & not in today refdata
OPT_TRENT_20260224_PE_515000,TRENT,OPT_PE,515000,20260224,Zero position & not in today refdata
OPT_ETERNAL_20260224_CE_11000,ETERNAL,OPT_CE,11000,20260224,Zero position & not in today refdata
OPT_RELIANCE_20260224_CE_183000,RELIANCE,OPT_CE,183000,20260224,Zero position & not in today refdata
OPT_TATASTEEL_20260224_CE_11800,TATASTEEL,OPT_CE,11800,20260224,Zero position & not in today refdata
OPT_DRREDDY_20260224_CE_163000,DRREDDY,OPT_CE,163000,20260224,Zero position & not in today refdata
OPT_LT_20260224_PE_556000,LT,OPT_PE,556000,20260224,Zero position & not in today refdata
OPT_ITC_20260224_PE_55500,ITC,OPT_PE,55500,20260224,Zero position & not in today refdata
OPT_COALINDIA_20260224_CE_25000,COALINDIA,OPT_CE,25000,20260224,Zero position & not in today refdata
OPT_ULTRACEMCO_20260224_CE_680000,ULTRACEMCO,OPT_CE,680000,20260224,Zero position & not in today refdata
OPT_ITC_20260224_CE_45250,ITC,OPT_CE,45250,20260224,Zero position & not in today refdata
OPT_MARUTI_20260224_PE_1930000,MARUTI,OPT_PE,1930000,20260224,Zero position & not in today refdata
OPT_TRENT_20260224_PE_580000,TRENT,OPT_PE,580000,20260224,Zero position & not in today refdata
OPT_TITAN_20260224_PE_560000,TITAN,OPT_PE,560000,20260224,Zero position & not in today refdata
OPT_ADANIPORTS_20260224_PE_216000,ADANIPORTS,OPT_PE,216000,20260224,Zero position & not in today refdata
OPT_BEL_20260224_PE_31500,BEL,OPT_PE,31500,20260224,Zero position & not in today refdata
OPT_NTPC_20260224_CE_18000,NTPC,OPT_CE,18000,20260224,Zero position & not in today refdata
OPT_ULTRACEMCO_20260224_PE_680000,ULTRACEMCO,OPT_PE,680000,20260224,Zero position & not in today refdata
OPT_BAJFINANCE_20260224_CE_125000,BAJFINANCE,OPT_CE,125000,20260224,Zero position & not in today refdata
OPT_NESTLEIND_20260224_CE_186000,NESTLEIND,OPT_CE,186000,20260224,Zero position & not in today refdata
OPT_NESTLEIND_20260224_CE_74000,NESTLEIND,OPT_CE,74000,20260224,Zero position & not in today refdata
OPT_HINDALCO_20260224_PE_54000,HINDALCO,OPT_PE,54000,20260224,Zero position & not in today refdata
OPT_TECHM_20260224_CE_88000,TECHM,OPT_CE,88000,20260224,Zero position & not in today refdata
OPT_ASIANPAINT_20260224_PE_362000,ASIANPAINT,OPT_PE,362000,20260224,Zero position & not in today refdata
OPT_TCS_20260224_CE_402000,TCS,OPT_CE,402000,20260224,Zero position & not in today refdata
OPT_LT_20260224_PE_548000,LT,OPT_PE,548000,20260224,Zero position & not in today refdata
OPT_DRREDDY_20260224_PE_188000,DRREDDY,OPT_PE,188000,20260224,Zero position & not in today refdata
OPT_HDFCLIFE_20260224_CE_114000,HDFCLIFE,OPT_CE,114000,20260224,Zero position & not in today refdata
OPT_MARUTI_20260224_PE_1970000,MARUTI,OPT_PE,1970000,20260224,Zero position & not in today refdata
OPT_TATASTEEL_20260224_CE_14900,TATASTEEL,OPT_CE,14900,20260224,Zero position & not in today refdata
OPT_HINDUNILVR_20260224_CE_314000,HINDUNILVR,OPT_CE,314000,20260224,Zero position & not in today refdata
OPT_HCLTECH_20260224_CE_92000,HCLTECH,OPT_CE,92000,20260224,Zero position & not in today refdata
OPT_BAJAJ-AUTO_20260224_PE_1230000,BAJAJ-AUTO,OPT_PE,1230000,20260224,Zero position & not in today refdata
OPT_COALINDIA_20260224_PE_23500,COALINDIA,OPT_PE,23500,20260224,Zero position & not in today refdata
OPT_CIPLA_20260224_CE_212000,CIPLA,OPT_CE,212000,20260224,Zero position & not in today refdata
OPT_TATASTEEL_20260224_PE_15100,TATASTEEL,OPT_PE,15100,20260224,Zero position & not in today refdata
OPT_MARUTI_20260224_PE_2340000,MARUTI,OPT_PE,2340000,20260224,Zero position & not in today refdata
OPT_AXISBANK_20260224_CE_91000,AXISBANK,OPT_CE,91000,20260224,Zero position & not in today refdata
OPT_ADANIPORTS_20260224_PE_190000,ADANIPORTS,OPT_PE,190000,20260224,Zero position & not in today refdata
OPT_HDFCBANK_20260224_PE_112500,HDFCBANK,OPT_PE,112500,20260224,Zero position & not in today refdata
OPT_SBILIFE_20260224_PE_270000,SBILIFE,OPT_PE,270000,20260224,Zero position & not in today refdata
OPT_ITC_20260224_PE_50500,ITC,OPT_PE,50500,20260224,Zero position & not in today refdata
OPT_NTPC_20260224_PE_24750,NTPC,OPT_PE,24750,20260224,Zero position & not in today refdata
OPT_KOTAKBANK_20260224_PE_50400,KOTAKBANK,OPT_PE,50400,20260224,Zero position & not in today refdata
OPT_SBIN_20260224_CE_68000,SBIN,OPT_CE,68000,20260224,Zero position & not in today refdata
OPT_HCLTECH_20260224_PE_118000,HCLTECH,OPT_PE,118000,20260224,Zero position & not in today refdata
OPT_SBIN_20260224_CE_84500,SBIN,OPT_CE,84500,20260224,Zero position & not in today refdata
OPT_SHRIRAMFIN_20260224_PE_71000,SHRIRAMFIN,OPT_PE,71000,20260224,Zero position & not in today refdata
OPT_ICICIBANK_20260224_PE_204000,ICICIBANK,OPT_PE,204000,20260224,Zero position & not in today refdata
OPT_NTPC_20260224_PE_25250,NTPC,OPT_PE,25250,20260224,Zero position & not in today refdata
OPT_RELIANCE_20260224_PE_222000,RELIANCE,OPT_PE,222000,20260224,Zero position & not in today refdata
OPT_RELIANCE_20260224_CE_214000,RELIANCE,OPT_CE,214000,20260224,Zero position & not in today refdata
OPT_HDFCBANK_20260224_PE_116500,HDFCBANK,OPT_PE,116500,20260224,Zero position & not in today refdata
OPT_TATASTEEL_20260224_PE_10800,TATASTEEL,OPT_PE,10800,20260224,Zero position & not in today refdata
OPT_WIPRO_20260224_PE_27150,WIPRO,OPT_PE,27150,20260224,Zero position & not in today refdata
OPT_ITC_20260224_PE_57000,ITC,OPT_PE,57000,20260224,Zero position & not in today refdata
OPT_ONGC_20260224_CE_23100,ONGC,OPT_CE,23100,20260224,Zero position & not in today refdata
OPT_RELIANCE_20260224_CE_103000,RELIANCE,OPT_CE,103000,20260224,Zero position & not in today refdata
OPT_GRASIM_20260224_CE_420000,GRASIM,OPT_CE,420000,20260224,Zero position & not in today refdata
OPT_SUNPHARMA_20260224_PE_242000,SUNPHARMA,OPT_PE,242000,20260224,Zero position & not in today refdata
OPT_HCLTECH_20260224_CE_122000,HCLTECH,OPT_CE,122000,20260224,Zero position & not in today refdata
OPT_ONGC_20260224_CE_19500,ONGC,OPT_CE,19500,20260224,Zero position & not in today refdata
OPT_CIPLA_20260224_PE_212000,CIPLA,OPT_PE,212000,20260224,Zero position & not in today refdata
OPT_COALINDIA_20260224_PE_31250,COALINDIA,OPT_PE,31250,20260224,Zero position & not in today refdata
OPT_SBIN_20260224_CE_64000,SBIN,OPT_CE,64000,20260224,Zero position & not in today refdata
OPT_DRREDDY_20260224_PE_81000,DRREDDY,OPT_PE,81000,20260224,Zero position & not in today refdata
OPT_COALINDIA_20260224_PE_33250,COALINDIA,OPT_PE,33250,20260224,Zero position & not in today refdata
OPT_LT_20260224_PE_528000,LT,OPT_PE,528000,20260224,Zero position & not in today refdata
OPT_ONGC_20260224_CE_18000,ONGC,OPT_CE,18000,20260224,Zero position & not in today refdata
OPT_TRENT_20260224_PE_200000,TRENT,OPT_PE,200000,20260224,Zero position & not in today refdata
OPT_ONGC_20260224_CE_22900,ONGC,OPT_CE,22900,20260224,Zero position & not in today refdata
OPT_RELIANCE_20260224_PE_193000,RELIANCE,OPT_PE,193000,20260224,Zero position & not in today refdata
OPT_TITAN_20260224_CE_482000,TITAN,OPT_CE,482000,20260224,Zero position & not in today refdata
OPT_POWERGRID_20260224_CE_38500,POWERGRID,OPT_CE,38500,20260224,Zero position & not in today refdata
OPT_ITC_20260224_PE_58500,ITC,OPT_PE,58500,20260224,Zero position & not in today refdata
OPT_ONGC_20260224_PE_19500,ONGC,OPT_PE,19500,20260224,Zero position & not in today refdata
OPT_TATACONSUM_20260224_PE_172000,TATACONSUM,OPT_PE,172000,20260224,Zero position & not in today refdata
OPT_HDFCBANK_20260224_PE_131000,HDFCBANK,OPT_PE,131000,20260224,Zero position & not in today refdata
OPT_HDFCBANK_20260224_CE_135000,HDFCBANK,OPT_CE,135000,20260224,Zero position & not in today refdata
OPT_HEROMOTOCO_20260224_PE_365000,HEROMOTOCO,OPT_PE,365000,20260224,Zero position & not in today refdata
OPT_HDFCBANK_20260224_CE_130000,HDFCBANK,OPT_CE,130000,20260224,Zero position & not in today refdata
OPT_TCS_20260224_PE_168000,TCS,OPT_PE,168000,20260224,Zero position & not in today refdata
OPT_RELIANCE_20260224_PE_103000,RELIANCE,OPT_PE,103000,20260224,Zero position & not in today refdata
OPT_SUNPHARMA_20260224_PE_199000,SUNPHARMA,OPT_PE,199000,20260224,Zero position & not in today refdata
OPT_TECHM_20260224_PE_110000,TECHM,OPT_PE,110000,20260224,Zero position & not in today refdata
OPT_KOTAKBANK_20260224_PE_31750,KOTAKBANK,OPT_PE,31750,20260224,Zero position & not in today refdata
OPT_ASIANPAINT_20260224_CE_392000,ASIANPAINT,OPT_CE,392000,20260224,Zero position & not in today refdata
OPT_ADANIPORTS_20260224_PE_60000,ADANIPORTS,OPT_PE,60000,20260224,Zero position & not in today refdata
OPT_ONGC_20260224_PE_18200,ONGC,OPT_PE,18200,20260224,Zero position & not in today refdata
OPT_TATASTEEL_20260224_PE_14300,TATASTEEL,OPT_PE,14300,20260224,Zero position & not in today refdata
OPT_BEL_20260224_PE_32500,BEL,OPT_PE,32500,20260224,Zero position & not in today refdata
OPT_ADANIENT_20260224_PE_294000,ADANIENT,OPT_PE,294000,20260224,Zero position & not in today refdata
OPT_ITC_20260224_PE_57500,ITC,OPT_PE,57500,20260224,Zero position & not in today refdata
OPT_SUNPHARMA_20260224_PE_207000,SUNPHARMA,OPT_PE,207000,20260224,Zero position & not in today refdata
OPT_COALINDIA_20260224_PE_24000,COALINDIA,OPT_PE,24000,20260224,Zero position & not in today refdata
OPT_SBIN_20260224_CE_87500,SBIN,OPT_CE,87500,20260224,Zero position & not in today refdata
OPT_ITC_20260224_CE_43750,ITC,OPT_CE,43750,20260224,Zero position & not in today refdata
OPT_TATASTEEL_20260224_CE_15500,TATASTEEL,OPT_CE,15500,20260224,Zero position & not in today refdata
OPT_ETERNAL_20260224_CE_10000,ETERNAL,OPT_CE,10000,20260224,Zero position & not in today refdata
OPT_TRENT_20260224_CE_525000,TRENT,OPT_CE,525000,20260224,Zero position & not in today refdata
OPT_SUNPHARMA_20260224_PE_250000,SUNPHARMA,OPT_PE,250000,20260224,Zero position & not in today refdata
OPT_LT_20260224_PE_474000,LT,OPT_PE,474000,20260224,Zero position & not in today refdata
OPT_ULTRACEMCO_20260224_CE_830000,ULTRACEMCO,OPT_CE,830000,20260224,Zero position & not in today refdata
OPT_APOLLOHOSP_20260224_PE_925000,APOLLOHOSP,OPT_PE,925000,20260224,Zero position & not in today refdata
OPT_ICICIBANK_20260224_PE_74000,ICICIBANK,OPT_PE,74000,20260224,Zero position & not in today refdata
OPT_TCS_20260224_CE_394000,TCS,OPT_CE,394000,20260224,Zero position & not in today refdata
OPT_RELIANCE_20260224_CE_220000,RELIANCE,OPT_CE,220000,20260224,Zero position & not in today refdata
OPT_TECHM_20260224_PE_114000,TECHM,OPT_PE,114000,20260224,Zero position & not in today refdata
OPT_KOTAKBANK_20260224_PE_60500,KOTAKBANK,OPT_PE,60500,20260224,Zero position & not in today refdata
OPT_GRASIM_20260224_PE_144000,GRASIM,OPT_PE,144000,20260224,Zero position & not in today refdata
OPT_ITC_20260224_CE_49250,ITC,OPT_CE,49250,20260224,Zero position & not in today refdata
OPT_SBIN_20260224_CE_67000,SBIN,OPT_CE,67000,20260224,Zero position & not in today refdata
OPT_ADANIENT_20260224_PE_282000,ADANIENT,OPT_PE,282000,20260224,Zero position & not in today refdata
OPT_HEROMOTOCO_20260224_CE_840000,HEROMOTOCO,OPT_CE,840000,20260224,Zero position & not in today refdata
OPT_APOLLOHOSP_20260224_CE_915000,APOLLOHOSP,OPT_CE,915000,20260224,Zero position & not in today refdata
OPT_BAJAJFINSV_20260224_CE_300000,BAJAJFINSV,OPT_CE,300000,20260224,Zero position & not in today refdata
OPT_INDUSINDBK_20260224_CE_130000,INDUSINDBK,OPT_CE,130000,20260224,Zero position & not in today refdata
OPT_TITAN_20260224_PE_482000,TITAN,OPT_PE,482000,20260224,Zero position & not in today refdata
OPT_ITC_20260224_CE_53500,ITC,OPT_CE,53500,20260224,Zero position & not in today refdata
OPT_COALINDIA_20260224_PE_26000,COALINDIA,OPT_PE,26000,20260224,Zero position & not in today refdata
OPT_ADANIENT_20260224_CE_320000,ADANIENT,OPT_CE,320000,20260224,Zero position & not in today refdata
OPT_ONGC_20260224_CE_21700,ONGC,OPT_CE,21700,20260224,Zero position & not in today refdata
OPT_JIOFIN_20260224_CE_38250,JIOFIN,OPT_CE,38250,20260224,Zero position & not in today refdata
OPT_ITC_20260224_PE_52500,ITC,OPT_PE,52500,20260224,Zero position & not in today refdata
OPT_SUNPHARMA_20260224_CE_236000,SUNPHARMA,OPT_CE,236000,20260224,Zero position & not in today refdata
OPT_SBIN_20260224_PE_84500,SBIN,OPT_PE,84500,20260224,Zero position & not in today refdata
